LSOA Code,LSOA Name,Total samples,Number of exceedances,Exceedance rate (failures/total samples),Latitude,Longitude
E01027170,West Northamptonshire 017C,2,0,0.0,52.25157,-0.86131
E01027171,West Northamptonshire 012A,5,0,0.0,52.26758,-0.85622
E01027172,West Northamptonshire 012B,2,0,0.0,52.2616,-0.8659
E01027233,West Northamptonshire 036A,1,0,0.0,52.2302,-0.92884
E01027221,West Northamptonshire 007C,4,0,0.0,52.27539,-0.85751
E01027222,West Northamptonshire 007D,2,0,0.0,52.27888,-0.85441
E01027224,West Northamptonshire 034A,7,0,0.0,52.23636,-0.87698
E01027225,West Northamptonshire 031B,6,0,0.0,52.24547,-0.8868
E01027226,West Northamptonshire 034B,4,0,0.0,52.24369,-0.88228
E01027227,West Northamptonshire 031C,4,0,0.0,52.24276,-0.8881
E01027228,West Northamptonshire 031D,4,0,0.0,52.24013,-0.88355
E01027229,West Northamptonshire 015B,4,0,0.0,52.261,-0.89806
E01027230,West Northamptonshire 015C,4,0,0.0,52.26453,-0.89673
E01027231,West Northamptonshire 015D,7,0,0.0,52.25966,-0.88963
E01027232,West Northamptonshire 006D,5,0,0.0,52.27125,-0.88478
E01027220,West Northamptonshire 019D,5,0,0.0,52.26242,-0.88072
E01027234,West Northamptonshire 036B,3,0,0.0,52.22577,-0.92687
E01027235,West Northamptonshire 036C,4,0,0.0,52.22553,-0.91709
E01027236,West Northamptonshire 033B,6,0,0.0,52.24434,-0.92594
E01027237,West Northamptonshire 033C,3,0,0.0,52.23742,-0.92872
E01027238,West Northamptonshire 033D,9,0,0.0,52.23911,-0.91662
E01027239,West Northamptonshire 021A,1,0,0.0,52.2464,-0.91742
E01027240,West Northamptonshire 020D,7,0,0.0,52.26573,-0.93459
E01027241,West Northamptonshire 021B,6,0,0.0,52.24412,-0.91187
E01027242,West Northamptonshire 021C,4,0,0.0,52.25491,-0.91453
E01027243,West Northamptonshire 021D,7,0,0.0,52.26214,-0.92423
E01027208,West Northamptonshire 023A,3,0,0.0,52.25899,-0.95708
E01027197,West Northamptonshire 014B,5,0,0.0,52.26353,-0.82007
E01027198,West Northamptonshire 014C,5,0,0.0,52.25904,-0.83273
E01027199,West Northamptonshire 014D,3,0,0.0,52.2666,-0.82099
E01027200,West Northamptonshire 009D,4,0,0.0,52.26923,-0.82089
E01027201,West Northamptonshire 037B,6,0,0.0,52.2102,-0.88724
E01027202,West Northamptonshire 037C,11,0,0.0,52.22014,-0.85927
E01027203,West Northamptonshire 044A,8,0,0.0,52.20599,-0.87517
E01027204,West Northamptonshire 044B,2,0,0.0,52.20464,-0.88568
E01027205,West Northamptonshire 044C,3,0,0.0,52.20233,-0.87535
E01027207,West Northamptonshire 028A,4,0,0.0,52.25619,-0.94833
E01026947,South Norfolk 004C,2,0,0.0,52.61722,1.063084
E01027209,West Northamptonshire 023B,2,0,0.0,52.25538,-0.96203
E01027210,West Northamptonshire 028B,2,0,0.0,52.25179,-0.94871
E01027211,West Northamptonshire 023C,4,0,0.0,52.25423,-0.95614
E01027212,West Northamptonshire 023D,6,0,0.0,52.25177,-0.96361
E01027213,West Northamptonshire 020A,4,0,0.0,52.25088,-0.94131
E01027214,West Northamptonshire 020B,2,0,0.0,52.25292,-0.93537
E01027216,West Northamptonshire 020C,4,0,0.0,52.24722,-0.93353
E01027217,West Northamptonshire 028D,6,0,0.0,52.24183,-0.94319
E01027218,West Northamptonshire 007A,9,0,0.0,52.27309,-0.87292
E01027219,West Northamptonshire 007B,4,0,0.0,52.26838,-0.8648
E01026683,King's Lynn and West Norfolk 001D,7,0,0.0,52.93369,0.485715
E01026671,King's Lynn and West Norfolk 006C,4,0,0.0,52.76829,0.433753
E01026672,King's Lynn and West Norfolk 006D,2,0,0.0,52.77128,0.438027
E01026674,King's Lynn and West Norfolk 012B,3,0,0.0,52.77071,0.491115
E01026675,King's Lynn and West Norfolk 012C,2,0,0.0,52.767,0.570393
E01026676,King's Lynn and West Norfolk 003A,6,0,0.0,52.91326,0.508881
E01026677,King's Lynn and West Norfolk 003B,11,0,0.0,52.90414,0.488768
E01026678,King's Lynn and West Norfolk 003C,7,0,0.0,52.90768,0.478308
E01026679,King's Lynn and West Norfolk 018A,4,0,0.0,52.5549,0.365781
E01026680,King's Lynn and West Norfolk 001A,5,0,0.0,52.93384,0.491573
E01026681,King's Lynn and West Norfolk 001B,12,0,0.0,52.94635,0.542755
E01026682,King's Lynn and West Norfolk 001C,8,0,0.0,52.94388,0.49331
E01026670,King's Lynn and West Norfolk 006B,6,0,0.0,52.76895,0.421708
E01026684,King's Lynn and West Norfolk 013A,3,0,0.0,52.65171,0.274456
