Collected date,Month,Total phosphorus [ug/L],Collection site
2024-10-22,Oct,18.5,4001308302
2024-04-11,Apr,29.9,16018407502
2024-04-11,Apr,6.0,16018403402
2024-04-11,Apr,9.6,16018406702
2024-06-08,Jun,7.5,3007701302
2024-09-17,Sep,20.3,8004000802
2024-09-17,Sep,116.0,8002200702
2024-09-17,Sep,145.0,8002201902
2024-09-17,Sep,34.9,8002201002
2024-04-11,Apr,6.6,16018412602
2024-04-11,Apr,26.2,16018403702
2024-04-11,Apr,6.4,16018413102
2024-10-15,Oct,13.6,16012401102
2024-10-15,Oct,9.6,16012401402
2024-10-15,Oct,11.3,16012401302
2024-10-15,Oct,7.7,16015901002
2024-10-31,Oct,23.2,16018403502
2024-10-22,Oct,9.3,16018411702
2024-10-22,Oct,12.5,16018415502
2024-10-15,Oct,19.5,16012401202
2024-10-22,Oct,40.1,16018401602
2024-11-19,Nov,39.8,4001305802
2024-11-19,Nov,349.0,4001307302
2024-11-20,Nov,64.2,4001308202
2024-11-19,Nov,101.0,4001308102
2024-11-19,Nov,13.4,4001305702
2024-11-19,Nov,8.9,16006300202
2024-06-11,Jun,16.3,8012304802
2024-07-16,Jul,883.0,8002100202
2024-09-09,Sep,35.2,16012401302
2024-09-09,Sep,83.8,16010901002
2024-07-15,Jul,205.0,4001302502
2024-07-15,Jul,165.0,4001301702
2024-06-05,Jun,27.2,8010300102
2024-06-05,Jun,102.0,8012305602
2024-10-17,Oct,9.7,16018410602
2024-07-24,Jul,14.1,3005700702
2024-06-11,Jun,13.2,8012305202
2024-04-16,Apr,7.2,12001700202
2024-06-17,Jun,22.1,4001305002
2024-06-17,Jun,114.0,4001309002
2024-06-17,Jun,37.8,4001304202
2024-06-17,Jun,20.1,4001309702
2024-09-17,Sep,25.3,8004000202
2024-09-17,Sep,145.0,8002201202
2024-05-06,May,6.0,8012305302
2024-05-06,May,17.1,8012305202
2024-08-20,Aug,93.0,8002201002
2024-11-06,Nov,14.9,8010700502
2024-07-24,Jul,13.5,3005703502
2024-04-16,Apr,14.7,12003400102
2024-10-15,Oct,11.8,16015900302
2024-05-21,May,31.3,12001700202
2024-05-21,May,63.1,12003100102
2024-05-21,May,6.1,12000400802
2024-05-21,May,120.0,12002700102
2024-05-21,May,36.6,12001700102
2024-05-21,May,89.8,12003400102
2024-05-21,May,22.0,12000400202
2024-04-06,Apr,6.2,8012305802
2024-04-06,Apr,29.5,8012305902
2024-08-20,Aug,68.0,8002201602
2024-08-20,Aug,33.0,8002200702
2024-08-20,Aug,100.0,8002201902
2024-08-20,Aug,170.0,8002202002
2024-10-22,Oct,6.8,16018407402
2024-10-22,Oct,13.9,16018407702
2024-05-22,May,21.6,12000201002
2024-07-16,Jul,688.0,8002202402
2024-10-17,Oct,9.0,13000300102
2024-10-17,Oct,11.5,13001100102
2024-08-19,Aug,18.5,3003000202
2024-07-24,Jul,2.3,3005702802
2024-07-24,Jul,285.0,3005703102
2024-07-24,Jul,31.5,3005702902
2024-06-17,Jun,31.2,4001309202
2024-06-17,Jun,105.0,4001306602
2024-06-17,Jun,153.0,4001301602
2024-06-17,Jun,242.0,4001301702
2024-06-25,Jun,123.0,3005703102
2024-06-25,Jun,37.5,3005700702
2024-08-19,Aug,28.4,3001600302
2024-08-19,Aug,10.7,3003600902
2024-08-19,Aug,61.1,3001500202
2024-06-17,Jun,19.5,6018000302
2024-06-25,Jun,13.9,3005702802
2024-06-25,Jun,50.7,3005703502
2024-06-25,Jun,25.8,3005701002
2024-09-09,Sep,28.8,16012401202
2024-08-19,Aug,14.0,3003601002
2024-05-22,May,107.0,12000200902
2024-05-22,May,13.3,6018000202
2024-05-22,May,27.4,6018000302
2024-05-22,May,106.0,12000200402
2024-05-22,May,113.0,6018300202
2024-05-22,May,25.3,17003700302
2024-06-17,Jun,88.0,6018300202
2024-06-17,Jun,61.1,12000200402
2024-06-17,Jun,14.9,17003700302
2024-06-17,Jun,24.6,6018000202
2024-06-17,Jun,28.0,12000201002
2024-06-17,Jun,86.2,12000200902
2024-06-17,Jun,5.5,12000400802
2024-10-21,Oct,24.2,3005703702
2024-10-21,Oct,16.0,3005702502
2024-10-21,Oct,11.4,3005703402
2024-10-21,Oct,15.1,3005703302
2024-10-21,Oct,4.7,3005702102
2024-11-20,Nov,261.0,4001303302
2024-11-19,Nov,16.4,4001310902
2024-09-04,Sep,26.1,17002115702
2024-11-19,Nov,35.8,4001308302
2024-11-20,Nov,61.6,4001311002
2024-11-19,Nov,140.0,16007200102
2024-09-04,Sep,14.7,17002112802
2024-09-05,Sep,6.9,8012305302
2024-09-05,Sep,25.5,8012305202
2024-06-18,Jun,34.1,4001304702
2024-10-21,Oct,15.2,3004700102
2024-10-17,Oct,3.7,13001100202
