Collected date [YYYY-MM-DD],Month,Iron [ug/L],Collection site
2024-04-17,Apr,213.0,17002600102
2024-04-17,Apr,238.0,17002602502
2024-04-17,Apr,36.8,17002602302
2024-04-17,Apr,123.0,17002601902
2024-04-17,Apr,156.0,17002600602
2024-06-17,Jun,43.2,17002100302
2024-06-17,Jun,335.0,17002114502
2024-06-17,Jun,478.0,17002108602
2024-07-22,Jul,342.0,17002109202
2024-07-22,Jul,368.0,17002114502
2024-07-22,Jul,135.0,17002109502
2024-02-04,Feb,106.0,3007600602
2024-05-13,May,91.0,3007500202
2024-05-13,May,118.0,3007600302
2024-03-27,Mar,539.0,18207002002
2024-03-27,Mar,287.0,18207010002
2024-04-22,Apr,294.0,18207010002
2024-04-22,Apr,185.0,18207015002
2024-02-07,Feb,118.0,3007600602
2024-03-09,Mar,104.0,3007600402
2024-03-09,Mar,106.0,3007600602
2024-03-09,Mar,212.0,3007600502
2024-04-06,Apr,137.0,3007600602
2024-05-28,May,417.0,19006400402
2024-05-28,May,125.0,19006404502
2024-05-28,May,137.0,19006401420
2024-05-28,May,149.0,19006400102
2024-04-17,Apr,135.0,17002601302
2024-07-22,Jul,42.3,17002100302
2024-04-17,Apr,208.0,17002600902
2024-07-05,Jul,135.0,17002600102
2024-07-05,Jul,217.0,17002600602
2024-07-05,Jul,33.7,17002602302
2024-07-22,Jul,457.0,17002108602
2024-09-04,Sep,83.9,17002113702
2024-04-22,Apr,161.0,18207014502
2024-04-22,Apr,157.0,18207016002
2024-04-23,Apr,145.0,18207006002
2024-04-23,Apr,546.0,18207002002
2024-04-23,Apr,1520.0,18207000802
2024-04-23,Apr,396.0,18207000702
2024-06-08,Jun,210.0,3007300202
2024-07-10,Jul,86.4,3006600102
2024-07-10,Jul,207.0,3007500202
2024-07-10,Jul,58.8,3007600402
2024-07-10,Jul,206.0,3007600502
2024-06-25,Jun,125.0,19006401420
2024-06-25,Jun,214.0,19006404502
2024-06-25,Jun,309.0,19006400102
2024-07-05,Jul,189.0,17002600702
2024-05-28,May,124.0,17002109502
2024-07-30,Jul,156.0,19006400402
2024-07-30,Jul,194.0,19006404502
2024-07-05,Jul,135.0,17002600202
2024-05-28,May,214.0,17002109202
2024-05-28,May,55.4,17002100302
2024-05-28,May,386.0,17002114502
2024-05-28,May,500.0,17002108602
2024-09-04,Sep,80.1,17002111902
2024-09-04,Sep,81.7,17002113602
2024-05-28,May,207.0,18207010002
2024-05-28,May,693.0,18207015002
2024-05-29,May,1570.0,18207000802
2024-05-29,May,601.0,18207002002
2024-07-30,Jul,111.0,19006401420
2024-07-30,Jul,125.0,19006400102
2024-08-26,Aug,114.0,19006400102
2024-04-17,Apr,394.0,4001000302
2024-08-26,Aug,189.0,19006400402
2024-05-13,May,84.7,3007600402
2024-02-07,Feb,84.1,3007600402
2024-04-16,Apr,511.0,16003000302
2024-04-16,Apr,467.0,16001800302
2024-04-16,Apr,693.0,16003200102
2024-04-16,Apr,873.0,10000200202
2024-04-16,Apr,432.0,10000100302
2024-04-16,Apr,454.0,16002700102
2024-04-16,Apr,411.0,16003200202
2024-07-05,Jul,188.0,17002601302
2024-07-05,Jul,71.0,17002601101
2024-07-05,Jul,147.0,17002600302
2024-07-05,Jul,347.0,17002602502
2024-09-04,Sep,27.4,17002113002
2024-09-04,Sep,30.9,17002107402
2024-09-04,Sep,43.5,17002102102
2024-09-04,Sep,45.0,17002102502
2024-09-04,Sep,18.5,17002105402
2024-09-04,Sep,144.0,17002107502
2024-09-04,Sep,93.1,17002102302
2024-07-05,Jul,143.0,17002600402
2024-07-05,Jul,176.0,17002601902
2024-07-05,Jul,190.0,17002601202
2024-06-25,Jun,290.0,18207015002
2024-06-25,Jun,304.0,18207010002
2024-06-26,Jun,784.0,18207002002
2024-08-26,Aug,220.0,19006404502
2024-08-26,Aug,97.8,19006401420
2024-01-10,Jan,196.0,19006404502
2024-01-10,Jan,91.2,19006401420
2024-01-10,Jan,105.0,19006400102
2024-05-13,May,780.0,16001800302
2024-05-13,May,461.0,16002700102
2024-04-06,Apr,179.0,3007000502
