Station name,Station number,Total samples (PWQO analytes),% total exceedances (PWQO analytes),Risk tier,N Aluminum [ug/L],% exceed Aluminum,N Arsenic [ug/L],% exceed Arsenic,N Boron [ug/L],% exceed Boron,N Cadmium [ug/L],% exceed Cadmium,N Chromium [ug/L],% exceed Chromium,N Copper [ug/L],% exceed Copper,N E. coli [MPN / 100mL],% exceed E. coli,N Iron [ug/L],% exceed Iron,N Lead [ug/L],% exceed Lead,N Mercury [ng/L],% exceed Mercury,N Nickel [ug/L],% exceed Nickel,N Total Phosphorus [ug/L],% exceed Total Phosphorus,N Selenium [ug/L],% exceed Selenium,N Silver [ug/L],% exceed Silver,N Zinc [ug/L],% exceed Zinc,N pH [SU],% exceed pH
,3007703902,82,24.39,Tier 3,7,85.71,1,0.0,1,0.0,7,0.0,7,57.14,7,0.0,0,,7,57.14,7,0.0,0,,7,0.0,8,62.5,1,0.0,7,0.0,7,14.29,8,0.0
Kettle Creek,16008701502,78,24.36,Tier 3,7,100.0,0,,0,,7,0.0,6,16.67,7,0.0,0,,7,57.14,7,0.0,0,,7,0.0,8,87.5,0,,7,0.0,7,0.0,8,0.0
,6006100302,79,24.05,Tier 3,7,42.86,0,,0,,7,0.0,7,71.43,7,28.57,0,,7,28.57,7,0.0,0,,7,0.0,8,62.5,0,,7,0.0,7,28.57,8,0.0
Big Otter Creek,16010900802,79,24.05,Tier 3,7,100.0,0,,0,,7,14.29,7,28.57,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,8,75.0,0,,7,0.0,7,0.0,8,0.0
South Raisin River,12007301502,79,24.05,Tier 3,7,100.0,0,,0,,7,14.29,7,14.29,7,0.0,0,,7,0.0,7,0.0,0,,7,0.0,9,55.56,0,,6,0.0,7,71.43,8,0.0
,9000100502,93,23.66,Tier 3,8,37.5,1,0.0,1,0.0,8,0.0,8,25.0,8,25.0,0,,8,25.0,8,0.0,0,,8,0.0,9,88.89,1,0.0,8,0.0,8,50.0,9,11.11
,1010800602,93,23.66,Tier 3,8,100.0,1,0.0,1,0.0,8,12.5,8,12.5,8,12.5,0,,8,75.0,8,0.0,0,,8,0.0,9,55.56,1,0.0,8,0.0,8,0.0,9,0.0
,3013303002,85,23.53,Tier 3,7,100.0,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,100.0,7,0.0,0,,7,0.0,11,54.55,0,,7,0.0,7,0.0,11,0.0
,6006000802,78,23.08,Tier 3,7,100.0,0,,0,,7,14.29,6,16.67,7,14.29,0,,7,14.29,7,0.0,0,,7,0.0,8,62.5,0,,7,0.0,7,14.29,8,12.5
,6008300902,78,23.08,Tier 3,7,85.71,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,100.0,7,0.0,0,,7,0.0,8,62.5,0,,7,0.0,6,0.0,8,0.0
Wabigoon River,19000103602,13,23.08,Tier 3,1,100.0,0,,0,,1,0.0,1,0.0,1,0.0,0,,1,100.0,1,0.0,2,0.0,1,0.0,1,100.0,0,,1,0.0,1,0.0,1,0.0
