Event,Plant,Microorganism,Influent_raw,Effluent_raw,Influent_used,Effluent_used,Effluent_detected_flag,LRV [log10]
Event 04,NoWe,Total coliform,1986300000,2419.6,1986300000.0,2419.6,Detected,5.9143012667656665
Event 05,NoWe,Total coliform,26130000,727,26130000.0,727.0,Detected,4.555604998868288
Event 06,NoWe,Total coliform,12100000,816.4,12100000.0,816.4,Detected,4.170882374272417
Event 07,NoWe,Total coliform,8400000,613.1,8400000.0,613.1,Detected,4.136747969934647
Event 08,NoWe,Total coliform,16070000,2419.2,16070000.0,2419.2,Detected,3.8223441029422323
Event 09,NoWe,Total coliform,15800000,980.4,15800000.0,980.4,Detected,4.207253784374382
Event 10,NoWe,Total coliform,101700000,770.1,101700000.0,770.1,Detected,5.120773829531639
Event 11,NoWe,Total coliform,155310000,387.3,155310000.0,387.3,Detected,5.603151922715435
Event 12,NoWe,Total coliform,59400000,206,59400000.0,206.0,Detected,5.45991922461204
Event 13,NoWe,Total coliform,69100000,1120,69100000.0,1120.0,Detected,4.790260024704017
Event 14,NoWe,Total coliform,2420000000,270,2420000000.0,270.0,Detected,6.952451601821444
Event 15,NoWe,Total coliform,437000000,1120,437000000.0,1120.0,Detected,5.59126341430024
Event 16,NoWe,Total coliform,309000000,345,309000000.0,345.0,Detected,5.95213938435156
